1-1-1-1	aaron
1-1-1-2	aasig
1-1-1-3	aback
1-1-1-4	abacus
1-1-1-5	abaft
1-1-1-6	abandon
1-1-1-7	abart
1-1-1-8	abase
1-1-1-9	abash
1-1-1-10	abate
1-1-1-11	abatre
1-1-1-12	abbacy
1-1-2-1	abbau
1-1-2-2	abbey
1-1-2-3	abbot
1-1-2-4	abdomen
1-1-2-5	abduct
1-1-2-6	abeam
1-1-2-7	abellix
1-1-2-8	abend
1-1-2-9	abeyance
1-1-2-10	abfall
1-1-2-11	abgang
1-1-2-12	abgas
1-1-3-1	abgott
1-1-3-2	abguss
1-1-3-3	abhang
1-1-3-4	abhor
1-1-3-5	abide
1-1-3-6	abiding
1-1-3-7	abies
1-1-3-8	abigail
1-1-3-9	ability
1-1-3-10	abject
1-1-3-11	abjure
1-1-3-12	abkehr
1-1-4-1	ablage
1-1-4-2	ablass
1-1-4-3	ablauf
1-1-4-4	ablaut
1-1-4-5	ablaze
1-1-4-6	ableist
1-1-4-7	ablest
1-1-4-8	abluft
1-1-4-9	abnorm
1-1-4-10	aboard
1-1-4-11	abode
1-1-4-12	abolish
1-1-5-1	abort
1-1-5-2	abound
1-1-5-3	about
1-1-5-4	above
1-1-5-5	abraded
1-1-5-6	abraham
1-1-5-7	abrasion
1-1-5-8	abrasiu
1-1-5-9	abrasive
1-1-5-10	abrasix
1-1-5-11	abraum
1-1-5-12	abreast
1-1-6-1	abrede
1-1-6-2	abridge
1-1-6-3	abrieb
1-1-6-4	abrigar
1-1-6-5	abriss
1-1-6-6	abroad
1-1-6-7	abruf
1-1-6-8	abrupt
1-1-6-9	absage
1-1-6-10	absatz
1-1-6-11	abscess
1-1-6-12	abschn
1-1-7-1	absence
1-1-7-2	absent
1-1-7-3	absenz
1-1-7-4	absinthe
1-1-7-5	absolute
1-1-7-6	absolve
1-1-7-7	absorb
1-1-7-8	abstain
1-1-7-9	abstract
1-1-7-10	absurd
1-1-7-11	abtei
1-1-7-12	abtun
1-1-8-1	abuja
1-1-8-2	abundava
1-1-8-3	abuse
1-1-8-4	abusing
1-1-8-5	abusive
1-1-8-6	abutted
1-1-8-7	abweg
1-1-8-8	abwehr
1-1-8-9	abwurf
1-1-8-10	abyss
1-1-8-11	abzgl
1-1-8-12	abzug
1-1-9-1	acabable
1-1-9-2	acabali
1-1-9-3	acacia
1-1-9-4	academy
1-1-9-5	acadia
1-1-9-6	acantaci
1-1-9-7	acapten
1-1-9-8	acceded
1-1-9-9	accedix
1-1-9-10	accent
1-1-9-11	accept
1-1-9-12	access
1-1-10-1	acclaim
1-1-10-2	accompli
1-1-10-3	accord
1-1-10-4	accost
1-1-10-5	account
1-1-10-6	accra
1-1-10-7	accrue
1-1-10-8	accuracy
1-1-10-9	accurate
1-1-10-10	accuse
1-1-10-11	accustom
1-1-10-12	aceri
1-1-11-1	acetatis
1-1-11-2	aceton
1-1-11-3	achat
1-1-11-4	ached
1-1-11-5	aches
1-1-11-6	achieve
1-1-11-7	achilles
1-1-11-8	achillis
1-1-11-9	achillo
1-1-11-10	aching
1-1-11-11	achse
1-1-11-12	achte
1-1-12-1	achtung
1-1-12-2	acicular
1-1-12-3	acidada
1-1-12-4	acidesa
1-1-12-5	acidic
1-1-12-6	acidosis
1-1-12-7	acids
1-1-12-8	acidy
1-1-12-9	acker
1-1-12-10	aclarit
1-1-12-11	aclasis
1-1-12-12	aclofat
1-2-1-1	acolli
1-2-1-2	acolloni
1-2-1-3	acomodin
1-2-1-4	acopi
1-2-1-5	acorn
1-2-1-6	acorren
1-2-1-7	acoste
1-2-1-8	acquaint
1-2-1-9	acquire
1-2-1-10	acquit
1-2-1-11	acreage
1-2-1-12	acres
1-2-2-1	acrid
1-2-2-2	acromial
1-2-2-3	acromion
1-2-2-4	acronym
1-2-2-5	across
1-2-2-6	acryl
1-2-2-7	acted
1-2-2-8	acting
1-2-2-9	action
1-2-2-10	activate
1-2-2-11	active
1-2-2-12	activism
1-2-3-1	activist
1-2-3-2	activity
1-2-3-3	actor
1-2-3-4	actress
1-2-3-5	actual
1-2-3-6	acuitat
1-2-3-7	acuity
1-2-3-8	acumen
1-2-3-9	acute
1-2-3-10	adage
1-2-3-11	adagio
1-2-3-12	adair
1-2-4-1	adamant
1-2-4-2	adams
1-2-4-3	adana
1-2-4-4	adapt
1-2-4-5	adargui
1-2-4-6	added
1-2-4-7	adder
1-2-4-8	addict
1-2-4-9	addier
1-2-4-10	adding
1-2-4-11	addison
1-2-4-12	addition
1-2-5-1	addled
1-2-5-2	address
1-2-5-3	adduce
1-2-5-4	adduct
1-2-5-5	adelaide
1-2-5-6	adele
1-2-5-7	adeln
1-2-5-8	adelt
1-2-5-9	adenina
1-2-5-10	adenitis
1-2-5-11	adenom
1-2-5-12	adept
1-2-6-1	adhere
1-2-6-2	adieu
1-2-6-3	adinyin
1-2-6-4	adios
1-2-6-5	adipose
1-2-6-6	adiposi
1-2-6-7	adiposus
1-2-6-8	adirem
1-2-6-9	adisch
1-2-6-10	adjacent
1-2-6-11	adjoin
1-2-6-12	adjourn
1-2-7-1	adjunct
1-2-7-2	adjust
1-2-7-3	adjuvant
1-2-7-4	adlai
1-2-7-5	adler
1-2-7-6	adlig
1-2-7-7	admiral
1-2-7-8	admire
1-2-7-9	admit
1-2-7-10	admix
1-2-7-11	adoba
1-2-7-12	adobe
1-2-8-1	adonai
1-2-8-2	adonis
1-2-8-3	adopt
1-2-8-4	adorable
1-2-8-5	adore
1-2-8-6	adori
1-2-8-7	adorn
1-2-8-8	adossa
1-2-8-9	adossi
1-2-8-10	adraksin
1-2-8-11	adrenal
1-2-8-12	adrett
1-2-9-1	adria
1-2-9-2	adrift
1-2-9-3	adroit
1-2-9-4	adult
1-2-9-5	advance
1-2-9-6	advent
1-2-9-7	adverb
1-2-9-8	adverse
1-2-9-9	advert
1-2-9-10	advice
1-2-9-11	advise
1-2-9-12	advisors
1-2-10-1	advisory
1-2-10-2	advocate
1-2-10-3	advsh
1-2-10-4	aegean
1-2-10-5	aegide
1-2-10-6	aegis
1-2-10-7	aehre
1-2-10-8	aelter
1-2-10-9	aeneas
1-2-10-10	aeneid
1-2-10-11	aeration
1-2-10-12	aerger
1-2-11-1	aerial
1-2-11-2	aermel
1-2-11-3	aerob
1-2-11-4	aerosol
1-2-11-5	aesche
1-2-11-6	aesop
1-2-11-7	aether
1-2-11-8	aethyl
1-2-11-9	aetna
1-2-11-10	aetzen
1-2-11-11	afegix
1-2-11-12	afeixin
1-2-12-1	affable
1-2-12-2	affably
1-2-12-3	affair
1-2-12-4	affect
1-2-12-5	afferent
1-2-12-6	affetto
1-2-12-7	affig
1-2-12-8	affin
1-2-12-9	affirm
1-2-12-10	affix
1-2-12-11	affluent
1-2-12-12	afflux
1-3-1-1	afford
1-3-1-2	affright
1-3-1-3	affront
1-3-1-4	afghan
1-3-1-5	afibla
1-3-1-6	afield
1-3-1-7	afilerem
1-3-1-8	afire
1-3-1-9	afixa
1-3-1-10	aflamava
1-3-1-11	aflame
1-3-1-12	afloat
1-3-2-1	aflorat
1-3-2-2	aflori
1-3-2-3	aflutter
1-3-2-4	afoot
1-3-2-5	afore
1-3-2-6	afoul
1-3-2-7	afraid
1-3-2-8	afresh
1-3-2-9	africa
1-3-2-10	afrika
1-3-2-11	afrodita
1-3-2-12	after
1-3-3-1	afuen
1-3-3-2	afwaid
1-3-3-3	again
1-3-3-4	agamba
1-3-3-5	agape
1-3-3-6	agata
1-3-3-7	agate
1-3-3-8	agave
1-3-3-9	ageing
1-3-3-10	ageism
1-3-3-11	ageless
1-3-3-12	agency
1-3-4-1	agenda
1-3-4-2	agent
1-3-4-3	agermana
1-3-4-4	aghast
1-3-4-5	agiert
1-3-4-6	agile
1-3-4-7	agility
1-3-4-8	agilulf
1-3-4-9	aging
1-3-4-10	aglevi
1-3-4-11	aglow
1-3-4-12	agnes
1-3-5-1	agnostic
1-3-5-2	agonia
1-3-5-3	agonie
1-3-5-4	agonize
1-3-5-5	agony
1-3-5-6	agora
1-3-5-7	agoste
1-3-5-8	agradat
1-3-5-9	agrar
1-3-5-10	agree
1-3-5-11	agrement
1-3-5-12	aground
1-3-6-1	agullona
1-3-6-2	agwee
1-3-6-3	ahead
1-3-6-4	ahmte
1-3-6-5	ahndet
1-3-6-6	ahnen
1-3-6-7	ahnte
1-3-6-8	ahnung
1-3-6-9	ahorn
1-3-6-10	aided
1-3-6-11	aides
1-3-6-12	aiding
1-3-7-1	aidless
1-3-7-2	aiken
1-3-7-3	aikido
1-3-7-4	ailey
1-3-7-5	ailing
1-3-7-6	aime
1-3-7-7	aimina
1-3-7-8	aiming
1-3-7-9	aimless
1-3-7-10	aims
1-3-7-11	airbus
1-3-7-12	aired
1-3-8-1	airiness
1-3-8-2	airing
1-3-8-3	airline
1-3-8-4	airman
1-3-8-5	airplane
1-3-8-6	airport
1-3-8-7	airway
1-3-8-8	aisle
1-3-8-9	ajaci
1-3-8-10	ajovau
1-3-8-11	akazie
1-3-8-12	akimbo
1-3-9-1	akinfi
1-3-9-2	akkord
1-3-9-3	akron
1-3-9-4	akten
1-3-9-5	akteur
1-3-9-6	aktie
1-3-9-7	aktion
1-3-9-8	aktiv
1-3-9-9	aktor
1-3-9-10	akutes
1-3-9-11	akzent
1-3-9-12	akzept
1-3-10-1	alabama
1-3-10-2	aladreu
1-3-10-3	alallarg
1-3-10-4	alamo
1-3-10-5	alanin
1-3-10-6	alarm
1-3-10-7	alary
1-3-10-8	alaska
1-3-10-9	alaun
1-3-10-10	albania
1-3-10-11	albany
1-3-10-12	albatera
1-3-11-1	albeit
1-3-11-2	albern
1-3-11-3	albers
1-3-11-4	albert
1-3-11-5	albino
1-3-11-6	album
1-3-11-7	albus
1-3-11-8	alchemy
1-3-11-9	alcohol
1-3-11-10	alcove
1-3-11-11	aldea
